,image_id,cell_id,spot_id,nuc_loc_y,nuc_loc_x,cyto_loc_y,cyto_loc_x,nuc_area_px,cyto_area_px,cell_area_px,z,y,x,is_nuc,is_cluster,cluster_size,spot_type,is_cell_fragmented,nuc_int_ch_0,nuc_int_ch_1,cyto_int_ch_0,cyto_int_ch_1,pseudo_cyto_int_ch_0,pseudo_cyto_int_ch_1,nuc_cyto_int_ratio_ch_0,nuc_cyto_int_ratio_ch_1,nuc_pseudo_cyto_int_ratio_ch_0,nuc_pseudo_cyto_int_ratio_ch_1,spot_int_ch_0,spot_int_ch_1
23,0,4,0,426,694,0,0,5185,0,0,0,391,689,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-699.6667,2489.8
24,0,4,1,426,694,0,0,5185,0,0,0,392,702,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-526.0,1925.8
25,0,4,2,426,694,0,0,5185,0,0,0,396,679,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,313.5333,183.3333
26,0,4,3,426,694,0,0,5185,0,0,0,396,712,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,544.9333,339.2667
27,0,4,4,426,694,0,0,5185,0,0,0,401,688,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,89.7333,180.6
28,0,4,5,426,694,0,0,5185,0,0,0,401,702,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-431.1333,-143.4
29,0,4,6,426,694,0,0,5185,0,0,0,407,708,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,186.2,-278.4
30,0,4,7,426,694,0,0,5185,0,0,0,409,669,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,130.4667,1253.2
31,0,4,8,426,694,0,0,5185,0,0,0,410,725,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-752.2,75.2
32,0,4,9,426,694,0,0,5185,0,0,0,419,722,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-38.6,122.4
33,0,4,10,426,694,0,0,5185,0,0,0,421,712,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-14.4,136.4
34,0,4,11,426,694,0,0,5185,0,0,0,425,663,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-48.6,1170.3333
35,0,4,12,426,694,0,0,5185,0,0,0,426,718,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-410.0667,488.4667
36,0,4,13,426,694,0,0,5185,0,0,0,427,724,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,326.5333,239.2
37,0,4,14,426,694,0,0,5185,0,0,0,428,708,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-410.6,-199.8
38,0,4,15,426,694,0,0,5185,0,0,0,434,658,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,408.5333,261.8667
39,0,4,16,426,694,0,0,5185,0,0,0,435,730,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-691.2,663.7333
40,0,4,17,426,694,0,0,5185,0,0,0,438,702,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,433.7333,1653.6
41,0,4,18,426,694,0,0,5185,0,0,0,441,721,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,536.8,1036.6667
42,0,4,19,426,694,0,0,5185,0,0,0,446,701,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-472.6667,-144.4667
43,0,4,20,426,694,0,0,5185,0,0,0,448,724,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,500.8667,520.0667
44,0,4,21,426,694,0,0,5185,0,0,0,449,711,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-498.9333,1083.7333
45,0,4,22,426,694,0,0,5185,0,0,0,452,692,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-193.4667,-329.6
46,0,4,23,426,694,0,0,5185,0,0,0,454,700,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,146.9333,366.0667
47,0,4,24,426,694,0,0,5185,0,0,0,455,678,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-935.9333,193.4667
48,0,4,25,426,694,0,0,5185,0,0,0,460,706,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-422.9333,1041.0
49,0,4,26,426,694,0,0,5185,0,0,0,461,683,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-368.2,387.2
50,0,4,27,426,694,0,0,5185,0,0,0,461,713,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,602.0,524.5333
51,0,4,28,426,694,0,0,5185,0,0,0,463,696,1,0,0,0,0,2632.91418,1017.20135,0.0,0.0,1807.90059,830.78543,0.0,0.0,1.4563379173409088,1.2243851580305158,-20.6667,1227.4
52,0,5,-1,556,898,0,0,3809,0,0,-1,-1,-1,0,0,0,-1,0,901.90234,799.25597,0.0,0.0,645.1343,752.75583,0.0,0.0,1.3980071126275566,1.0617732047322703,248.5333,-18.5333
53,0,6,-1,638,791,0,0,4696,0,0,-1,-1,-1,0,0,0,-1,0,876.43164,878.68228,0.0,0.0,628.11487,801.05333,0.0,0.0,1.3953365568307594,1.0969085915915238,0.0,0.0
54,0,7,0,761,719,0,0,3898,0,0,0,731,717,1,0,0,0,0,2762.41432,1239.22755,0.0,0.0,1252.59511,951.63762,0.0,0.0,2.205352949206388,1.3022052974324407,36.4667,-227.0
55,0,7,1,761,719,0,0,3898,0,0,0,733,710,1,0,0,0,0,2762.41432,1239.22755,0.0,0.0,1252.59511,951.63762,0.0,0.0,2.205352949206388,1.3022052974324407,-186.4667,1845.0667
56,0,7,2,761,719,0,0,3898,0,0,0,734,695,1,0,0,0,0,2762.41432,1239.22755,0.0,0.0,1252.59511,951.63762,0.0,0.0,2.205352949206388,1.3022052974324407,256.5333,676.6667
57,0,7,3,761,719,0,0,3898,0,0,0,737,721,1,0,0,0,0,2762.41432,1239.22755,0.0,0.0,1252.59511,951.63762,0.0,0.0,2.205352949206388,1.3022052974324407,-532.8667,2024.6
58,0,7,4,761,719,0,0,3898,0,0,0,738,729,1,0,0,0,0,2762.41432,1239.22755,0.0,0.0,1252.59511,951.63762,0.0,0.0,2.205352949206388,1.3022052974324407,175.6667,2200.2667
59,0,7,5,761,719,0,0,3898,0,0,0,739,706,1,0,0,0,0,2762.41432,1239.22755,0.0,0.0,1252.59511,951.63762,0.0,0.0,2.205352949206388,1.3022052974324407,-466.7333,696.2
60,0,7,6,761,719,0,0,3898,0,0,0,739,712,1,0,0,0,0,2762.41432,1239.22755,0.0,0.0,1252.59511,951.63762,0.0,0.0,2.205352949206388,1.3022052974324407,-244.2667,-98.4
61,0,7,7,761,719,0,0,3898,0,0,0,741,692,1,0,0,0,0,2762.41432,1239.22755,0.0,0.0,1252.59511,951.63762,0.0,0.0,2.205352949206388,1.3022052974324407,-616.0,793.5333
62,0,7,8,761,719,0,0,3898,0,0,0,744,700,1,0,0,0,0,2762.41432,1239.22755,0.0,0.0,1252.59511,951.63762,0.0,0.0,2.205352949206388,1.3022052974324407,210.4667,583.6667
